"Event","Date","White","Black","Result","WhiteElo","BlackElo"
"Aurionpro Mumbai IGM Open",2025-06-19,"Kulkarni,Vin","Siddhanth Poonja","0-1",1994,2167
"Aurionpro Mumbai IGM Open",2025-06-19,"Andalamala Hemal Varshan","Yohan Yadav Tarala","0-1",1904,2143
"Aurionpro Mumbai IGM Open",2025-06-19,"Sharnarthi Shlok","Mahir Taneja","0-1",2137,1896
"Aurionpro Mumbai IGM Open",2025-06-19,"Vidit Sethi","Matta,V","1/2-1/2",1895,2130
"Aurionpro Mumbai IGM Open",2025-06-19,"Kherdekar Arnav","Iyer Arvind","1/2-1/2",1878,2101
"Aurionpro Mumbai IGM Open",2025-06-20,"Savchenko,B","Petrosyan,M","1/2-1/2",2456,2541
"Aurionpro Mumbai IGM Open",2025-06-20,"Davtyan,Arsen","Nikitenko,M","1-0",2402,2520
"Aurionpro Mumbai IGM Open",2025-06-20,"Nguyen Duc Hoa","Lalith,B","0-1",2378,2499
"Aurionpro Mumbai IGM Open",2025-06-20,"Pantsulaia,L","Madhesh Kumar S","1-0",2551,2243
"Aurionpro Mumbai IGM Open",2025-06-20,"Paichadze,L","Tologontegin,S","1-0",2529,2322
"Aurionpro Mumbai IGM Open",2025-06-20,"Siddhanth Poonja","Gharibyan,Mamikon","0-1",2167,2472
"Aurionpro Mumbai IGM Open",2025-06-20,"Yohan Yadav Tarala","Deepan,C","1/2-1/2",2143,2410
"Aurionpro Mumbai IGM Open",2025-06-20,"Slizhevsky,A","Alekhya,Mukhopadhyay","1-0",2372,2192
"Aurionpro Mumbai IGM Open",2025-06-20,"Soni Atharv","Aleksandrov,A","0-1",2064,2370
"Aurionpro Mumbai IGM Open",2025-06-20,"Mahir Taneja","Budhidharma,Nayaka","0-1",1896,2369
"Aurionpro Mumbai IGM Open",2025-06-20,"Nguyen Van Huy","Advik Amit Agrawal","1/2-1/2",2337,2218
"Aurionpro Mumbai IGM Open",2025-06-20,"Sanikidze,T","Krishay Jain","1-0",2425,2059
"Aurionpro Mumbai IGM Open",2025-06-20,"Fedorov,Alex","Singh,Ar","1-0",2370,2055
"Aurionpro Mumbai IGM Open",2025-06-20,"Neelotpal,D","Om,Nagnath Lamkane","1-0",2361,2015
"Aurionpro Mumbai IGM Open",2025-06-20,"Nithin,Babu","Kavinda,A","1-0",2360,2010
"Aurionpro Mumbai IGM Open",2025-06-20,"Gochelashvili,D","Adhiraj Mitra","1-0",2303,1996
"Aurionpro Mumbai IGM Open",2025-06-20,"Bartakke Aditya","Saravana,Kr","1/2-1/2",2033,2272
"Aurionpro Mumbai IGM Open",2025-06-20,"Sri Charan Sandipagu","Sherla Prathamesh","1-0",2018,2259
"Aurionpro Mumbai IGM Open",2025-06-20,"Sharnarthi Viresh","Chaudhari,Ashish","1-0",2236,1990
"Aurionpro Mumbai IGM Open",2025-06-20,"Mridav M","Soumya,Sw","0-1",2015,2232
"Aurionpro Mumbai IGM Open",2025-06-20,"Gaikwad Manas","Arnav Mahesh Koli","0-1",2232,1987
"Aurionpro Mumbai IGM Open",2025-06-21,"Lalith,B","Davtyan,Arsen","1/2-1/2",2499,2402
"Aurionpro Mumbai IGM Open",2025-06-21,"Budhidharma,Nayaka","Pantsulaia,L","1/2-1/2",2369,2551
"Aurionpro Mumbai IGM Open",2025-06-21,"Petrosyan,M","Slizhevsky,A","1-0",2541,2372
"Aurionpro Mumbai IGM Open",2025-06-21,"Aleksandrov,A","Paichadze,L","1-0",2370,2529
"Aurionpro Mumbai IGM Open",2025-06-21,"Gharibyan,Mamikon","Savchenko,B","1-0",2472,2456
"Aurionpro Mumbai IGM Open",2025-06-21,"Nikitenko,M","Sharnarthi Viresh","1-0",2520,2236
"Aurionpro Mumbai IGM Open",2025-06-21,"Soumya,Sw","Sanikidze,T","0-1",2232,2425
"Aurionpro Mumbai IGM Open",2025-06-21,"Deepan,C","Banik Hrishikesh Kumar","1-0",2410,2086
"Aurionpro Mumbai IGM Open",2025-06-21,"Advik Amit Agrawal","Nguyen Duc Hoa","0-1",2218,2378
"Aurionpro Mumbai IGM Open",2025-06-21,"Yohan Yadav Tarala","Fedorov,Alex","0-1",2143,2370
"Aurionpro Mumbai IGM Open",2025-06-21,"Aamuktha Guntaka","Neelotpal,D","0-1",2068,2361
"Aurionpro Mumbai IGM Open",2025-06-21,"Nithin,Babu","Sri Charan Sandipagu","1/2-1/2",2360,2018
"Aurionpro Mumbai IGM Open",2025-06-21,"Arnav Mahesh Koli","Nguyen Van Huy","0-1",1987,2337
"Aurionpro Mumbai IGM Open",2025-06-21,"Rachit H Gurnani","Gochelashvili,D","1/2-1/2",1976,2303
"Aurionpro Mumbai IGM Open",2025-06-21,"Madhesh Kumar S","Vedant Rupeshbhai Varasada","1-0",2243,1968
"Aurionpro Mumbai IGM Open",2025-06-21,"Tologontegin,S","Ram Vishal Parab","1-0",2322,2009
"Aurionpro Mumbai IGM Open",2025-06-21,"Saravana,Kr","Badole Shaunak","1-0",2272,2007
"Aurionpro Mumbai IGM Open",2025-06-21,"Shourya Paul","Gyana,Sai Santhosh M","1/2-1/2",2022,2195
"Aurionpro Mumbai IGM Open",2025-06-21,"Alekhya,Mukhopadhyay","Dinesh,Kumar Jaganathan","1-0",2192,2000
"Aurionpro Mumbai IGM Open",2025-06-21,"Ghadge Harsh","Avirat Chauhan","1/2-1/2",1988,2168
"Aurionpro Mumbai IGM Open",2025-06-21,"Balkishan,A","Shah,Moxit J","1-0",2167,1983
"Aurionpro Mumbai IGM Open",2025-06-22,"Davtyan,Arsen","Petrosyan,M","1/2-1/2",2402,2541
"Aurionpro Mumbai IGM Open",2025-06-22,"Gharibyan,Mamikon","Lalith,B","1/2-1/2",2472,2499
"Aurionpro Mumbai IGM Open",2025-06-22,"Sanikidze,T","Aleksandrov,A","0-1",2425,2370
"Aurionpro Mumbai IGM Open",2025-06-22,"Pantsulaia,L","Deepan,C","1/2-1/2",2551,2410
"Aurionpro Mumbai IGM Open",2025-06-22,"Nguyen Van Huy","Nikitenko,M","1/2-1/2",2337,2520
"Aurionpro Mumbai IGM Open",2025-06-22,"Nguyen Duc Hoa","Budhidharma,Nayaka","1-0",2378,2369
"Aurionpro Mumbai IGM Open",2025-06-22,"Fedorov,Alex","Madhesh Kumar S","1-0",2370,2243
"Aurionpro Mumbai IGM Open",2025-06-22,"Neelotpal,D","Nithin,Babu","1-0",2361,2360
"Aurionpro Mumbai IGM Open",2025-06-22,"Paichadze,L","Majumder Shrayan","1-0",2529,2148
"Aurionpro Mumbai IGM Open",2025-06-22,"Savchenko,B","Bajaj,Prakhar","1-0",2456,2080
"Aurionpro Mumbai IGM Open",2025-06-22,"Slizhevsky,A","Abheek Bhatt","1/2-1/2",2372,2061
"Aurionpro Mumbai IGM Open",2025-06-22,"Arnav,Agrawal","Tologontegin,S","0-1",2096,2322
"Aurionpro Mumbai IGM Open",2025-06-22,"Gochelashvili,D","Bhat Sannidhi Ramakrishna","1-0",2303,1876
"Aurionpro Mumbai IGM Open",2025-06-22,"Arshpreet Singh","Saravana,Kr","1-0",2075,2272
"Aurionpro Mumbai IGM Open",2025-06-22,"Soni Atharv","Alekhya,Mukhopadhyay","0-1",2064,2192
"Aurionpro Mumbai IGM Open",2025-06-22,"Sri Charan Sandipagu","Balkishan,A","1-0",2018,2167
"Aurionpro Mumbai IGM Open",2025-06-22,"Siddhanth Poonja","Rachit H Gurnani","1-0",2167,1976
"Aurionpro Mumbai IGM Open",2025-06-22,"Mridav M","Sherla Prathamesh","0-1",2015,2259
"Aurionpro Mumbai IGM Open",2025-06-22,"Sharnarthi Viresh","Shourya Paul","1-0",2236,2022
"Aurionpro Mumbai IGM Open",2025-06-22,"Jagreet Misra","Soumya,Sw","1/2-1/2",1971,2232
"Aurionpro Mumbai IGM Open",2025-06-22,"Gaikwad Manas","Chaudhari,Ashish","0-1",2232,1990
"Aurionpro Mumbai IGM Open",2025-06-22,"Vedant Rupeshbhai Varasada","Advik Amit Agrawal","0-1",1968,2218
"Aurionpro Mumbai IGM Open",2025-06-23,"Aleksandrov,A","Gharibyan,Mamikon","0-1",2370,2472
"Aurionpro Mumbai IGM Open",2025-06-23,"Petrosyan,M","Nguyen Duc Hoa","1/2-1/2",2541,2378
"Aurionpro Mumbai IGM Open",2025-06-23,"Lalith,B","Fedorov,Alex","1-0",2499,2370
"Aurionpro Mumbai IGM Open",2025-06-23,"Neelotpal,D","Davtyan,Arsen","1-0",2361,2402
"Aurionpro Mumbai IGM Open",2025-06-23,"Tologontegin,S","Pantsulaia,L","0-1",2322,2551
"Aurionpro Mumbai IGM Open",2025-06-23,"Gochelashvili,D","Paichadze,L","1-0",2303,2529
