"","Date","AwayTeam","AQ1","AQ2","AQ3","AQ4","AF","HomeTeam","HQ1","HQ2","HQ3","HQ4","HF","Diff","Year","Post_Season"
"470",102,"Brooklyn",33,28,15,34,110,"OklahomaCity",19,26,27,21,93,-17,2013,0
"471",102,"NewOrleans",23,21,22,26,92,"Houston",21,28,25,30,104,12,2013,0
"472",102,"Philadelphia",24,25,17,23,89,"Phoenix",31,17,27,20,95,6,2013,0
"473",102,"Minnesota",24,21,21,18,84,"Utah",23,30,26,27,106,22,2013,0
"474",102,"LAClippers",24,25,15,30,94,"GoldenState",33,29,20,33,115,21,2013,0
"475",103,"SanAntonio",19,21,20,23,83,"NewYork",22,20,25,33,100,17,2013,0
"476",103,"Minnesota",23,24,22,32,101,"Denver",25,18,27,27,97,-4,2013,0
"477",104,"Sacramento",23,31,28,23,105,"Toronto",22,31,10,33,96,-9,2013,0
"478",104,"Cleveland",29,33,24,20,106,"Charlotte",23,25,26,30,104,-2,2013,0
"479",104,"Brooklyn",20,32,26,15,115,"Washington",30,25,24,14,113,-2,2013,0
"480",104,"Atlanta",20,16,26,22,84,"Detroit",25,26,23,11,85,1,2013,0
"481",104,"Chicago",26,23,26,21,96,"Miami",22,26,18,23,89,-7,2013,0
"482",104,"Indiana",16,19,16,24,75,"Boston",15,32,22,25,94,19,2013,0
"483",104,"Philadelphia",21,21,24,19,85,"OklahomaCity",22,24,32,31,109,24,2013,0
"484",104,"Portland",24,23,25,14,86,"Memphis",25,25,22,12,84,-2,2013,0
"485",104,"Houston",23,24,30,38,115,"Milwaukee",21,37,14,29,101,-14,2013,0
"486",104,"Utah",25,17,29,16,87,"Phoenix",31,9,22,18,80,-7,2013,0
"487",104,"LALakers",22,29,20,31,102,"LAClippers",29,32,26,20,107,5,2013,0
"488",105,"Milwaukee",21,26,17,16,80,"Indiana",21,31,25,18,95,15,2013,0
"489",105,"NewYork",27,32,22,33,114,"Orlando",36,19,34,17,106,-8,2013,0
"490",105,"Boston",18,20,33,18,89,"Atlanta",31,22,9,19,81,-8,2013,0
"491",105,"Houston",20,34,24,34,112,"Cleveland",26,24,28,26,104,-8,2013,0
"492",105,"Sacramento",31,16,25,21,93,"Brooklyn",36,29,23,25,113,20,2013,0
"493",105,"Portland",23,30,26,23,102,"Minnesota",21,22,18,36,97,-5,2013,0
"494",105,"Philadelphia",21,21,21,23,86,"SanAntonio",31,23,27,28,109,23,2013,0
"495",105,"NewOrleans",25,15,23,26,99,"Dallas",23,24,20,22,96,-3,2013,0
"496",105,"Utah",23,22,27,19,91,"Denver",21,28,34,27,110,19,2013,0
"497",105,"GoldenState",12,31,23,23,89,"LAClippers",35,32,36,12,115,26,2013,0
"498",106,"OklahomaCity",23,29,26,26,104,"Toronto",18,32,17,25,92,-12,2013,0
"499",106,"Washington",19,25,16,11,71,"Miami",27,25,17,30,99,28,2013,0
"500",106,"Charlotte",21,38,20,17,108,"Detroit",30,30,22,14,101,-7,2013,0
"501",106,"Memphis",21,20,30,21,92,"Phoenix",16,22,24,19,81,-11,2013,0
